Isolate,katG,PinhA,RRDR,PpncA,pncA,PembA,embB,rpsL,rrs_str,gidB,rrs_inj,Peis,gyrA,gyrB,PethA,ethA,rpoA,rpoC,rpoB
0484C,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0669D,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1233R,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0292T,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
1860Y,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2073E,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2072D,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2011M,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
0145J,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0967C,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2491J,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1705E,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0609N,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2128P,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1731H,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2311N,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0658R,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1
0126N,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0031K,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0495P,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
1596L,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0570W,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
2508C,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
1917K,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
1346P,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1901S,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
0571X,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1
0475S,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2549X,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0897B,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0638V,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2639V,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0345B,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2335P,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2089X,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2127N,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
2352H,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0826Z,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1030W,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1723Z,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0696H,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0649G,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1
2215J,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1755J,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0255D,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0647E,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
2385T,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1802K,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
2053H,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0799V,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0556F,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1271H,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2140C,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0405R,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0259H,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0818Q,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1409H,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1892H,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2052G,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0725P,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1815Z,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2338S,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1824J,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2287M,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1782N,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1
1825K,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0928K,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
1475E,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0761D,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2393C,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0322B,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
2484B,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
0869W,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0978P,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1797E,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2516L,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0666A,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1765V,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0835J,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0844T,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2325D,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0273Y,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0188F,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0175R,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1126A,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1391N,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0915W,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0817P,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2327F,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
0163D,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
0816N,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0217M,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2234E,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0367A,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0293V,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0040V,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0628J,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2308K,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
2535G,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0622C,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2068Z,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2512G,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
0469L,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
0960V,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
1921P,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
1770A,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
0157X,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
2525W,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
1467W,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
1741T,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1552N,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1694S,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0541P,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1626T,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1
2033L,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1
0701N,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1
1323P,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2283H,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2490H,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
0748P,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1
1473C,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
2080M,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1
0450Q,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
0629K,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
1739R,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
1858W,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
0831E,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
0896A,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2403N,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0840P,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0460B,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
0943B,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
2487E,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1
2028F,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
2339T,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
0111X,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
1392P,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1
1659E,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1
1605W,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1
2294V,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2505Z,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2275Z,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
2273X,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
2310M,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2280E,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0360S,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0125M,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0180X,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0
1586A,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
2514J,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
0161B,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0
0784D,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2381P,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2341W,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
1506N,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
0770N,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0
1048Q,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
1678A,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
2082P,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2004E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1798F,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1342K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1545F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1868G,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0
2035N,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
2142E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1457K,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
2567R,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2208B,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2071C,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0190H,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
2318W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0317W,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0574A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0307K,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2049D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0720J,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1250K,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
0069B,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
1830Q,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2568S,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
0846W,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0
1833T,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2135X,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2169J,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0
1679B,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0
0390A,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0
1743W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1737P,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
1706F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0183A,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0413A,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
1471A,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2501V,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0
0913T,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
1128C,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
